,Year,ISO3,NATO Member
1188,1986,BHR,0
1189,1986,BGD,0
1190,1986,BRB,0
1191,1986,BLR,0
1192,1986,BEL,1
1193,1986,BLZ,0
1194,1986,BEN,0
1195,1986,BTN,0
1196,1986,BOL,0
1197,1986,BIH,0
1198,1986,BWA,0
1199,1986,BRA,0
1200,1986,BRN,0
1201,1986,BGR,0
1202,1986,BFA,0
1203,1986,BDI,0
1204,1986,CPV,0
1205,1986,KHM,0
1206,1986,CMR,0
1207,1986,CAN,1
1208,1986,CAF,0
1209,1986,TCD,0
1210,1986,CHL,0
1211,1986,CHN,0
1212,1986,COL,0
1213,1986,COM,0
1214,1986,COD,0
1215,1986,COG,0
1216,1986,CRI,0
1217,1986,HRV,0
1218,1986,CUB,0
1219,1986,CYP,0
1220,1986,CZE,0
1221,1986,DNK,1
1222,1986,DJI,0
1223,1986,DMA,0
1224,1986,DOM,0
1225,1986,ECU,0
1226,1986,EGY,0
1227,1986,SLV,0
1228,1986,GNQ,0
1229,1986,ERI,0
1230,1986,EST,0
1231,1986,SWZ,0
1232,1986,ETH,0
1233,1986,FJI,0
1234,1986,FIN,0
1235,1986,FRA,1
1236,1986,GAB,0
1237,1986,GMB,0
1238,1986,GEO,0
1239,1986,DEU,1
1240,1986,GHA,0
1241,1986,GRC,1
1242,1986,GRD,0
1243,1986,GTM,0
1244,1986,GIN,0
1245,1986,GNB,0
1246,1986,GUY,0
1247,1986,HTI,0
