date,inflation_volatility_12m
1995-09-01,0.0003917634049989955
1995-08-01,0.0003482051700705479
1995-07-01,0.0003586942526975761
1995-06-01,0.00042777611944818875
1995-05-01,0.0005326946601855386
1995-04-01,0.0006501099093044667
1995-03-01,0.0007637597358767215
1995-02-01,0.0008610673995703566
1995-01-01,0.0009297222886853184
1994-12-01,0.0009546036052645447
1994-11-01,0.0009670677206073289
1994-10-01,0.0009489663209827811
1994-09-01,0.0009076472182706944
1994-08-01,0.0008484328462008653
1994-07-01,0.000775543418352649
1994-06-01,0.0006926007716985679
1994-05-01,0.000602973416625218
1994-04-01,0.0005101029345770087
1994-03-01,0.00041795267852418527
1994-02-01,0.00033181291309089577
1994-01-01,0.00025977899825144435
1993-12-01,0.00021399244207053736
1993-11-01,0.00040780192418951166
1993-10-01,0.0006982085552191083
1993-09-01,0.0010318107981831359
1993-08-01,0.001386481470184904
1993-07-01,0.0017475384622926957
1993-06-01,0.0021025298041343374
1993-05-01,0.0024395078106896327
1993-04-01,0.0027460623634677724
1993-03-01,0.0030084520780618573
1993-02-01,0.00321050111814143
1993-01-01,0.00333184993329733
1992-12-01,0.003344686188053298
1992-11-01,0.003492200022520477
1992-10-01,0.003596707943666248
1992-09-01,0.0036649570755109173
1992-08-01,0.003701941788384504
1992-07-01,0.003711532101126892
1992-06-01,0.003696844006666957
1992-05-01,0.003660473704857941
1992-04-01,0.00360465567226084
1992-03-01,0.003531376655160296
1992-02-01,0.0034424642437799915
1992-01-01,0.0033396619364951235
1991-12-01,0.0032246992359778403
1991-11-01,0.003193604801765081
1991-10-01,0.0030079127338569146
1991-09-01,0.002716030467080045
1991-08-01,0.002355099101595536
1991-07-01,0.0019597964791667104
1991-06-01,0.0015705781439918735
1991-05-01,0.001245730450293666
1991-04-01,0.0010688008803633354
1991-03-01,0.0010957652555298582
1991-02-01,0.001266331680895275
1991-01-01,0.0014627126356798856
1990-12-01,0.0015831997622847921
1990-11-01,0.0016785699931155158
1990-10-01,0.001770366492134655
1990-09-01,0.001856685756640951
1990-08-01,0.001935771614161621
1990-07-01,0.002005927926070365
1990-06-01,0.002065440418743518
1990-05-01,0.00211249968713846
1990-04-01,0.002145116099224549
1990-03-01,0.0021610143304058036
1990-02-01,0.002157488726383311
1990-01-01,0.002131186824880431
1989-12-01,0.002077757868432879
1989-11-01,0.0021350777151308105
1989-10-01,0.002142207506505329
1989-09-01,0.0021099290637209543
1989-08-01,0.0020462511453214864
1989-07-01,0.0019576681531980043
1989-06-01,0.0018498948967524069
1989-05-01,0.0017283872510281443
1989-04-01,0.0015987973428217347
1989-03-01,0.001467444729705295
1989-02-01,0.0013418252385026998
1989-01-01,0.0012310488133882144
1988-12-01,0.0011458058336497265
1988-11-01,0.0013808879273035145
1988-10-01,0.0017363154037389476
1988-09-01,0.002158612414771254
1988-08-01,0.0026110261588491723
1988-07-01,0.003068781156666867
1988-06-01,0.0035129991146762725
1988-05-01,0.003927167306594958
1988-04-01,0.004295085727860793
1988-03-01,0.004599353042346091
1988-02-01,0.004819785965576908
1988-01-01,0.004931169703158977
1987-12-01,0.004899265055930915
1987-11-01,0.0047525989109493605
1987-10-01,0.00434858656629903
1987-09-01,0.0037935324591692283
1987-08-01,0.00318648045879699
1987-07-01,0.0026503322671457812
1987-06-01,0.002350684725122192
1987-05-01,0.0024236746618116617
1987-04-01,0.0028239755259640525
1987-03-01,0.0033789789918944424
1987-02-01,0.003933506556993393
1987-01-01,0.00436876641560365
1986-12-01,0.004569074195295289
1986-11-01,0.004673943181338368
1986-10-01,0.004657981188042947
1986-09-01,0.004548211417860276
1986-08-01,0.004364569862297972
1986-07-01,0.004123147875530425
1986-06-01,0.00383806923302485
1986-05-01,0.0035228404088776502
1986-04-01,0.0031915954552772215
1986-03-01,0.0028605055980335204
1986-02-01,0.002549471537482099
1986-01-01,0.002283705004139823
1985-12-01,0.0020933330973693753
1985-11-01,0.0020035362812879163
1985-10-01,0.001793948070461596
1985-09-01,0.001536530655494241
1985-08-01,0.0013130015909986093
1985-07-01,0.0012258763368982394
1985-06-01,0.0013433898761243473
